n_tips|r0|a0|frac0|tree
30|2.54442796677817|0.0349650873779319|0.517178321373649|(((t2:0.7801232126,((t11:0.5099741638,(t24:0.09038719971,t19:0.09038719971):0.4195869641):0.1880137771,(t25:0.5440427743,(t7:0.3522119707,t14:0.3522119707):0.1918308035):0.1539451666):0.08213527175):0.4001222216,(((t3:0.2662235354,(t10:0.08922530258,(t16:0.07563360771,t22:0.07563360771):0.01359169487):0.1769982328):0.2145863006,t5:0.480809836):0.6810126782,((((t21:0.2108036773,t30:0.2108036773):0.4606602764,(((t27:0.036476283,t12:0.036476283):0.5454256173,t20:0.5819019003):0.03270410092,t29:0.6146060012):0.05685795251):7.544390247e-05,((t8:0.4670279471,(t6:0.1525033335,(t23:0.03459233164,t15:0.03459233164):0.1179110019):0.3145246136):0.07162148379,(t18:0.2857542986,(t1:0.2365243214,t13:0.2365243214):0.04922997721):0.2528951323):0.1328899667):0.03343108878,t17:0.7049704864):0.4568520278):0.01842291998):0.7472120228,(t26:0.318758373,(t9:0.06233151333,(t28:0.05795918924,t4:0.05795918924):0.004372324087):0.2564268597):1.608699084):0.6018638254;
22|0.719873864457477|0.35904290715931|0.934919040300883|(((((t18:0.8869122256,t8:0.8869122256):0.3826756217,t7:1.269587847):1.167676178,(((((t14:0.1800435196,t17:0.1800435196):1.220653514,(t16:1.112294135,((t3:0.11424862,t21:0.11424862):0.1443984418,t12:0.2586470618):0.8536470731):0.2884028986):0.1012036009,t11:1.501900635):0.04298439268,(t2:0.9634651268,(t19:0.4105168633,t10:0.4105168633):0.5529482636):0.5814199004):0.7436480273,((t1:0.2997644847,t5:0.2997644847):0.7670359047,(t22:0.6282197199,t13:0.6282197199):0.4385806695):1.221732665):0.1487309703):0.1111929962,(t4:0.8356349247,(t15:0.5133575275,(t20:0.1862668364,t6:0.1862668364):0.3270906911):0.3222773972):1.712822096):1.112297379,t9:3.6607544):0.03414991759;
11|0.265224888983648|0.296549379911739|0.896479594754055|(((t3:2.652731128,(t7:2.244752017,t5:2.244752017):0.4079791104):0.3640814163,t8:3.016812544):3.208075004,((((t1:1.457506807,t2:1.457506807):1.928685437,(t11:1.292015008,(t9:1.233184436,t4:1.233184436):0.05883057198):2.094177236):1.034327718,t10:4.420519962):0.8803026589,t6:5.300822621):0.9240649271):0.3195821868;
25|2.47437190238154|0.422818681304343|0.814241782180034|((t7:0.3543180625,(t3:0.05570105594,t9:0.05570105594):0.2986170066):0.3278171806,(((t17:0.09372609145,t16:0.09372609145):0.4956482875,(((((t23:0.1440833829,t20:0.1440833829):0.02610533453,t11:0.1701887174):0.07061634448,t12:0.2408050619):0.0681486188,((t24:0.2192869631,t25:0.2192869631):0.04828696407,t18:0.2675739272):0.04137975352):0.08988142514,(t22:0.2794531052,((t10:0.1198251243,(t8:0.03320621219,t13:0.03320621219):0.08661891209):0.1024820858,(t15:0.0107781426,(t1:0.008721147229,t21:0.008721147229):0.002056995368):0.2115290675):0.05714589506):0.1193820007):0.1905392731):0.009109771077,(((t5:0.04849701648,t6:0.04849701648):0.04023532112,(t4:0.05470142468,(t19:0.0248595524,t14:0.0248595524):0.02984187228):0.03403091292):0.006356085543,t2:0.09508842314):0.5033957269):0.08365109307):0.4383431793;
19|3.99207398905186|0.244589204122312|0.886761854635552|(((t16:0.6061679959,(t10:0.5260194052,((t7:0.2748419291,t11:0.2748419291):0.1350081166,(t8:0.1604429917,((t19:0.1241704077,((t5:0.01281986426,t3:0.01281986426):0.1013364087,t12:0.114156273):0.01001413474):0.01237213258,t6:0.1365425403):0.02390045143):0.2494070539):0.1161693595):0.08014859075):0.3126483904,(((t14:0.1489536017,t9:0.1489536017):0.2780948526,(t13:0.2424557851,((t18:0.0149101664,t4:0.0149101664):0.07254244036,t15:0.08745260676):0.1550031783):0.1845926692):0.03231153594,t1:0.4593599902):0.4594563961):0.06097182,(t17:0.05957173563,t2:0.05957173563):0.9202164707):0.1720869128;
48|3.01998129761778|0.0116139701823704|0.510297648957931|(((((t2:0.61225403,(t19:0.5747286278,(t32:0.3378044411,((t3:0.2338166521,(t21:0.1897289545,t25:0.1897289545):0.04408769762):0.0758500644,t42:0.3096667165):0.02813772459):0.2369241867):0.03752540222):0.01890204134,((t20:0.4813669223,(t17:0.1276383671,(t4:0.004319909063,t35:0.004319909063):0.1233184581):0.3537285552):0.05578280752,(t9:0.2698268355,t31:0.2698268355):0.2673228943):0.09400634152):0.1473360649,((((t26:0.08852876943,t47:0.08852876943):0.4293386481,t1:0.5178674175):0.1362544136,t40:0.6541218311):0.1036875515,(((t7:0.09867963344,t37:0.09867963344):0.2812956319,((t30:0.1614720484,t43:0.1614720484):0.03890738882,t12:0.2003794372):0.1795958281):0.3674133035,(t39:0.4158899889,t44:0.4158899889):0.3314985799):0.0104208139):0.02068275355):0.07644463857,(t16:0.4739215717,t45:0.4739215717):0.3810152031):0.2869956039,((((t11:0.526750177,t6:0.526750177):0.3259529282,(((t5:0.1064878073,t33:0.1064878073):0.2346436558,t28:0.3411314631):0.006283437442,t22:0.3474149006):0.5052882047):0.07629880137,((((t46:0.1164325952,t14:0.1164325952):0.1218378544,t36:0.2382704495):0.1601152825,t34:0.3983857321):0.1829744313,((t41:0.3217904841,((t8:0.0921517889,t15:0.0921517889):0.03984242983,t29:0.1319942187):0.1897962654):0.2100889955,t10:0.5318794796):0.04948068375):0.3476417433):0.08953190039,((t38:0.4794149388,((t27:0.2752363638,t23:0.2752363638):0.1895078858,(t18:0.1295064025,t48:0.1295064025):0.3352378472):0.0146706891):0.07343380136,(t24:0.2396908523,t13:0.2396908523):0.3131578878):0.4656850669):0.1233985716):0.02995764803;
24|0.728146621587221|0.145512759727426|0.842181562678888|((t11:1.874516367,(t21:0.320083618,t20:0.320083618):1.55443275):1.353345746,(((t6:1.201409098,t15:1.201409098):1.07663948,(((t14:0.1366026138,t18:0.1366026138):0.6598689999,t17:0.7964716137):0.5273286569,t24:1.323800271):0.9542483073):0.8540313617,(t5:1.978695217,((((t1:0.008064876259,t23:0.008064876259):1.087737351,(t2:0.4447211195,t12:0.4447211195):0.6510811081):0.1270963151,(t19:0.3831642256,t22:0.3831642256):0.8397343171):0.746845886,((t8:1.229131741,((t9:0.1019692918,t16:0.1019692918):0.5982447616,(t10:0.007188102306,t4:0.007188102306):0.6930259511):0.5289176881):0.6506957361,(t3:0.7159142057,(t13:0.6996974421,t7:0.6996974421):0.01621676363):1.163913272):0.08991695125):0.008950788003):1.153384723):0.09578217421):3.948382042;
26|2.67972947619157|0.44305273976177|0.508582153823227|(((t17:0.4176314287,((t13:0.3336161978,((t18:0.2731693321,t10:0.2731693321):0.05440376524,(t22:0.2954143519,(t16:0.05616785865,t11:0.05616785865):0.2392464932):0.03215874543):0.006043100467):0.07955884079,t6:0.4131750386):0.004456390127):0.2808712165,((t15:0.05523143453,t4:0.05523143453):0.4228654063,((t21:0.1423425223,t5:0.1423425223):0.1048654805,(t8:0.03147836101,t1:0.03147836101):0.2157296417):0.2308888381):0.2204058043):1.105316294,(((t7:0.4813066246,((t24:0.01730459709,t23:0.01730459709):0.2412301873,t3:0.2585347844):0.2227718402):0.1106968397,(t2:0.5371579295,t20:0.5371579295):0.05484553479):0.1685271722,((t12:0.1754962418,t25:0.1754962418):0.1066722741,(((t26:0.1494990988,t9:0.1494990988):0.1047725676,t14:0.2542716664):0.01894441953,t19:0.273216086):0.0089524299):0.4783621206):1.043288303):0.1624990466;
20|2.4365595912165|0.431199374611024|0.788578511215746|((((t16:0.4992214262,t9:0.4992214262):0.05060194434,(t8:0.494610709,(t14:0.0041706669,t5:0.0041706669):0.4904400421):0.05521266147):0.107056831,(((t17:0.03812183763,(t19:0.01045557977,t15:0.01045557977):0.02766625786):0.2024586738,((t10:0.2362898262,t20:0.2362898262):0.001817156842,t1:0.2381069831):0.002473528405):0.09120380159,t4:0.3317843131):0.3250958884):0.276469819,(((((t7:0.01211940213,t2:0.01211940213):0.06487710322,t13:0.07699650535):0.007185626347,t6:0.0841821317):0.01958192923,t3:0.1037640609):0.3584535746,(t12:0.01406202218,(t11:4.031243035e-05,t18:4.031243035e-05):0.01402170975):0.4481556133):0.471132385):0.6957584099;
46|2.87198166561779|0.462269481222611|0.569832989014685|((((((t28:0.2824000239,(t8:0.1641030165,(t43:0.1381916572,t23:0.1381916572):0.02591135928):0.1182970074):0.1231705164,(t3:0.08073182382,(t7:0.004294374086,t12:0.004294374086):0.07643744973):0.3248387165):0.4301515713,((((t32:0.1691621337,(((t25:0.004845641659,t18:0.004845641659):0.06325412282,((t9:0.007023838074,t6:0.007023838074):0.01300369779,t37:0.02002753586):0.04807222862):0.04449695221,t42:0.1125967167):0.05656541702):0.0211111552,t20:0.1902732889):0.4033708372,t26:0.5936441262):0.03112329153,(((t40:0.1113719022,t33:0.1113719022):0.1672280325,t36:0.2785999347):0.1234059986,(t27:0.1134390824,(t15:0.009957033105,t2:0.009957033105):0.1034820492):0.288566851):0.2227614844):0.2109546939):0.0803342978,((t13:0.1587180761,t45:0.1587180761):0.6337493572,(((t22:0.411891883,t5:0.411891883):0.186854702,((t34:0.01959640067,t4:0.01959640067):0.3389586823,t24:0.3585550829):0.240191502):0.01398615802,((t17:0.334492234,(t46:0.0559965735,t16:0.0559965735):0.2784956605):0.2290456598,(t44:0.01573525373,t11:0.01573525373):0.5478026401):0.04919484915):0.1797346903):0.1235889761):0.569507823,t30:1.485564232):0.09022849214,(((t21:0.1776983383,(t39:0.003285220269,t10:0.003285220269):0.174413118):0.3618576331,(t29:0.1848260859,t19:0.1848260859):0.3547298856):0.06589739379,(((((t14:0.1116922716,t1:0.1116922716):0.1012023344,t41:0.212894606):0.0403514821,t31:0.2532460881):0.02860015949,t38:0.2818462476):0.2544752304,t35:0.5363214779):0.0691318873):0.9703393593):0.6086707186;
35|1.40774982559728|0.0449277544789948|0.633787940256298|(((((t27:0.7587943809,t33:0.7587943809):0.2033881437,(t10:0.2909290558,(t23:0.2220489086,t16:0.2220489086):0.06888014726):0.6712534687):0.1384086537,((t15:0.3151529822,t25:0.3151529822):0.6096155831,(((t26:0.3258013756,t28:0.3258013756):0.2131924531,t19:0.5389938287):0.06840801631,((t1:0.5355527151,(t20:0.4003027136,t21:0.4003027136):0.1352500015):0.006393336505,t30:0.5419460516):0.06545579337):0.3173667202):0.175822613):0.01042629044,((t12:0.1530370776,t5:0.1530370776):0.4410161108,((t31:0.1079851047,t4:0.1079851047):0.1711981968,(t6:0.1148359096,t8:0.1148359096):0.1643473919):0.3148698869):0.5169642803):0.6474991282,(((t3:0.8937717449,(t29:0.8589214611,(t13:0.02179164209,t14:0.02179164209):0.837129819):0.03485028381):0.4097239258,(((t18:0.04546999651,t17:0.04546999651):0.8349086299,t7:0.8803786264):0.3418192015,(t2:0.8518031491,(t34:0.7084561124,(t11:0.4775248797,(t35:0.2025622022,t22:0.2025622022):0.2749626775):0.2309312327):0.1433470367):0.3703946788):0.08129784284):0.2970288544,((t9:0.08533683655,t32:0.08533683655):1.51060332,t24:1.595940157):0.004584368405):0.1579920718):0.9624279697;
12|3.07370770793408|0.392660551839508|0.846651213476434|(((t7:0.1516464741,t1:0.1516464741):0.06757084202,t11:0.2192173161):0.5647112424,(((t12:0.09443412298,t8:0.09443412298):0.5612776763,(t5:0.1856014422,t2:0.1856014422):0.4701103571):0.01712028197,((t9:0.09593834952,t3:0.09593834952):0.25545402,(t4:0.1492767985,(t10:0.04455436116,t6:0.04455436116):0.1047224373):0.2021155711):0.3214397117):0.1110964772):0.9534731259;
18|2.04312566093169|0.230154420938343|0.641311713610776|((((t17:0.09987308018,t8:0.09987308018):0.2625995298,(t13:0.09476032993,(t14:0.07108769248,t5:0.07108769248):0.02367263745):0.26771228):0.5841454478,((((t1:0.01284931983,t15:0.01284931983):0.02520438095,t6:0.03805370079):0.7311597566,(t12:0.1336681781,t11:0.1336681781):0.6355452793):0.02269442605,(((t4:0.2546495371,t2:0.2546495371):0.2893824809,t9:0.544032018):0.02541630533,((t10:0.05897582958,t3:0.05897582958):0.5070976211,t7:0.5660734507):0.003374872614):0.2224595601):0.1547101743):0.298125396,(t16:0.2417585593,t18:0.2417585593):1.002984894):0.1414053207;
21|1.01539953739848|0.435674233117607|0.71535026258789|(((((t2:0.6161757251,t16:0.6161757251):0.4239099121,((t3:0.1027116543,t19:0.1027116543):0.2814503603,t5:0.3841620146):0.6559236226):0.5347464083,t4:1.574832046):0.07834447278,((t9:0.5957101125,t21:0.5957101125):0.6110704186,((t15:0.2957075525,t14:0.2957075525):0.3778566465,(t7:0.2664525282,t13:0.2664525282):0.4071116708):0.5332163321):0.4463959872):0.7356902697,((t20:0.7462300249,(t17:0.5041508393,t12:0.5041508393):0.2420791856):0.8612797438,((t8:0.08403779512,t6:0.08403779512):1.388524898,((t1:0.6941348365,(t11:0.204118253,t10:0.204118253):0.4900165835):0.5806686438,t18:1.27480348):0.1977592132):0.1349470753):0.7813570193):3.463840108;
12|3.16671296206303|0.377409262831788|0.910460464539938|(((((t11:0.04758571348,t2:0.04758571348):0.2415284259,(t6:0.005811334905,t4:0.005811334905):0.2833028045):0.1941944589,(t5:0.210831672,t7:0.210831672):0.2724769262):0.1128386372,(t10:0.3747378234,((t8:0.06143502526,t12:0.06143502526):0.1295425806,t3:0.1909776058):0.1837602176):0.221409412):0.1977183676,(t9:0.06438511214,t1:0.06438511214):0.7294804909):0.05883104322;
23|2.76938666377682|0.142066309528891|0.587672748253681|((((t16:0.122111688,t22:0.122111688):0.7331649615,(((t2:0.1234275626,t15:0.1234275626):0.1455745524,(t13:0.03260792262,t9:0.03260792262):0.2363941924):0.2112534189,t17:0.480255534):0.3750211155):0.01637019669,((((t20:0.1926290797,t6:0.1926290797):0.01838371642,(t23:0.1982142534,(t18:0.1335328639,t21:0.1335328639):0.0646813895):0.01279854274):0.2950621801,(t10:0.004584621322,t12:0.004584621322):0.5014903549):0.06943017544,(((t7:0.1672951171,t19:0.1672951171):0.1942022986,t14:0.3614974157):0.02333415803,(t3:0.1950040077,t1:0.1950040077):0.1898275661):0.190673578):0.2961416945):0.1928783529,((t4:0.7300980458,(t8:0.3558107293,t5:0.3558107293):0.3742873165):0.2172813099,t11:0.9473793557):0.1171458434):0.1867777996;
17|3.2054699312686|0.0437039850489236|0.779703881940804|(((t1:0.07132579667,t8:0.07132579667):0.4259129745,(((t9:0.1836681307,t12:0.1836681307):0.1148530549,(t3:0.03632928814,t11:0.03632928814):0.2621918975):0.1704825862,((t15:0.1414917303,(t14:0.07946957315,t13:0.07946957315):0.06202215715):0.1571709248,(((t6:0.02731720941,t5:0.02731720941):0.1719362671,t10:0.1992534765):0.03476025041,t7:0.2340137269):0.06464892814):0.1703411168):0.02823499928):0.06993432379,((t17:0.06410946197,t2:0.06410946197):0.08233178155,(t16:0.02320213044,t4:0.02320213044):0.1232391131):0.4207318514):0.2543015306;
21|1.16938352565747|0.0609169276128523|0.539509123889729|((t8:1.985418215,(t18:0.9730074495,t9:0.9730074495):1.012410765):1.197063034,((t4:0.1763215119,t2:0.1763215119):2.606264694,(((t5:1.0137879,t10:1.0137879):0.1678121421,t14:1.181600042):0.6167394524,(((t15:1.279981822,((t21:0.7500806249,((t6:0.1144342568,t1:0.1144342568):0.5988424363,t7:0.7132766931):0.0368039318):0.2801350165,t11:1.030215641):0.2497661802):0.2576069579,(t12:0.9447953694,(t19:0.9351858735,(t17:0.9317974106,(t20:0.8429435733,t16:0.8429435733):0.08885383732):0.003388462865):0.009609495896):0.5927934101):0.1839336055,(t13:0.1632046593,t3:0.1632046593):1.558317726):0.07681710932):0.9842467113):0.3998950431):0.3274685034;
